country,completion_male,completion_female,income_per_person,employment,life_expectancy,completion_female,income_per_person,employment,life_expectancy
Argentina,97.91143,102.10666,9.46596747264,58.40000153,75.5,102.10666,9.46596747288,58.4000015259,75.5
Armenia,91.53127,94.58897,8.74928839828,39.40000153,72.2,94.58897,8.74928839827,39.4000015259,72.2
Austria,100.63802,101.12819,10.6567141729,57.09999847,80.0,101.12819,10.656714173,57.0999984741,80.0
Azerbaijan,91.68856,90.66259,9.2640911216,59.29999924,69.9,90.66259,9.26409112119,59.2999992371,69.9
Bahamas,99.76959,96.84352,10.1332377645,66.90000153,72.1,96.84352,10.1332377647,66.9000015259,72.1
Barbados,92.61939,93.54322,9.66650226993,66.40000153,75.1,93.54322,9.66650226967,66.4000015259,75.1
Belarus,95.96147,92.8244,9.37742287616,53.70000076,69.2,92.8244,9.37742287595,53.7000007629,69.2
Belgium,88.84928,90.7742,10.6150860124,48.20000076,79.3,90.7742,10.6150860124,48.2000007629,79.3
Belize,102.6911,89.21952,9.03166770432,57.5,70.8,89.21952,9.03166770427,57.5,70.8
Bhutan,72.70079,72.78407,8.46292875007,59.59999847,66.9,72.78407,8.46292875,59.5999984741,66.9
Bolivia,102.67834,100.6494,8.47629568821,70.09999847,70.3,100.6494,8.47629568825,70.0999984741,70.3
Botswana,94.11288,100.60235,9.46544973548,45.5,57.5,100.60235,9.46544973537,45.5,57.5
Brunei,113.7737,118.06096,11.2472141233,64.09999847,77.4,118.06096,11.2472141234,64.0999984741,77.4
Bulgaria,97.95108,98.09996,9.49887239762,47.79999924,72.7,98.09996,9.49887239754,47.7999992371,72.7
Burkina Faso,34.483,27.23575,7.17543352153,81.19999695,57.7,27.23575,7.17543352147,81.1999969482,57.7
Cambodia,90.30289,89.3853,7.65471422055,78.40000153,65.2,89.3853,7.65471422053,78.4000015259,65.2
Cameroon,57.14797,48.57237,7.84431796055,59.70000076,55.7,48.57237,7.84431796054,59.7000007629,55.7
Canada,95.98202,95.51185,10.6266875344,62.5,80.5,95.51185,10.6266875344,62.5,80.5
Cape Verde,96.34757,102.34506,8.52369074333,55.5,72.2,102.34506,8.52369074339,55.5,72.2
Chad,42.08027,22.11208,7.53750447601,69.0,53.7,22.11208,7.5375044761,69.0,53.7
Colombia,107.91535,111.75842,9.17334352879,61.5,74.5,111.75842,9.17334352884,61.5,74.5
"Congo, Rep.",81.12426,74.07495,8.51564417952,64.30000305,57.2,74.07495,8.51564417947,64.3000030518,57.2
Costa Rica,88.92221,92.11125,9.32707007707,57.90000153,79.2,92.11125,9.32707007703,57.9000015259,79.2
Cote d'Ivoire,56.43557,34.669,7.94121353339,60.0,54.4,34.669,7.94121353324,60.0,54.4
Croatia,97.06999,95.62848,9.94851772154,46.5,76.3,95.62848,9.94851772166,46.5,76.3
Cuba,90.47517,90.13634,9.6652113994,56.09999847,77.4,90.13634,9.66521139949,56.0999984741,77.4
Cyprus,100.89286,101.41141,10.3617989372,58.59999847,80.7,101.41141,10.3617989371,58.5999984741,80.7
Denmark,101.64599,102.23493,10.7124600127,63.40000153,78.3,102.23493,10.7124600127,63.4000015259,78.3
Ecuador,105.77417,106.07211,9.07011499299,59.70000076,73.8,106.07211,9.07011499304,59.7000007629,73.8
Egypt,93.79192,90.12925,9.10443100673,41.90000153,70.0,90.12925,9.10443100678,41.9000015259,70.0
El Salvador,83.95199,85.40846,8.87288392748,58.0,73.4,85.40846,8.87288392751,58.0,73.4
Eritrea,56.33664,41.85209,7.14090843702,65.0,59.5,41.85209,7.14090843691,65.0,59.5
Estonia,102.08279,98.04493,10.074279721,55.20000076,72.8,98.04493,10.0742797209,55.2000007629,72.8
Ethiopia,52.8414,41.93541,6.67899841321,80.09999847,57.7,41.93541,6.67899841317,80.0999984741,57.7
Fiji,110.92981,111.07262,8.91415835849,56.5,65.4,111.07262,8.91415835853,56.5,65.4
Finland,97.059,96.85767,10.6011564756,56.59999847,79.0,96.85767,10.6011564756,56.5999984741,79.0
Gambia,65.99393,64.99491,7.30744934864,71.59999847,61.6,64.99491,7.3074493485,71.5999984741,61.6
Georgia,84.42441,83.25465,8.53651851306,55.09999847,72.4,83.25465,8.53651851307,55.0999984741,72.4
Germany,98.70083,99.2409,10.5881254905,52.79999924,79.7,99.2409,10.5881254904,52.7999992371,79.7
Ghana,73.04938,69.70583,7.86948404443,65.0,61.8,69.70583,7.86948404428,65.0,61.8
Greece,103.61986,102.58845,10.3521767965,49.0,79.2,102.58845,10.3521767967,49.0,79.2
Guatemala,80.619,72.79787,8.80268430101,62.29999924,69.9,72.79787,8.80268430098,62.2999992371,69.9
Guinea,72.87478,52.85429,7.08783459132,81.59999847,57.6,52.85429,7.08783459136,81.5999984741,57.6
Guyana,103.4659,106.67855,8.46621815143,58.90000153,63.0,106.67855,8.46621815133,58.9000015259,63.0
Honduras,86.41905,91.7316,8.33005670656,57.09999847,70.4,91.7316,8.33005670664,57.0999984741,70.4
"Hong Kong, China",101.1414,99.53676,10.6793050805,58.29999924,82.124,99.53676,10.6793050806,58.2999992371,82.124
Hungary,99.28682,98.78071,10.0545758076,47.29999924,73.2,98.78071,10.0545758078,47.2999992371,73.2
Iceland,97.52724,101.67327,10.6637200479,74.59999847,81.5,101.67327,10.6637200478,74.5999984741,81.5
India,89.25894,83.84568,8.17656040213,55.70000076,63.6,83.84568,8.17656040213,55.7000007629,63.6
Indonesia,95.73894,95.94191,8.82284111135,59.70000076,69.1,95.94191,8.8228411113,59.7000007629,69.1
Iran,100.14115,98.10947,9.51751499424,47.09999847,75.4,98.10947,9.51751499457,47.0999984741,75.4
Israel,102.19921,103.32075,10.1877027203,51.09999847,80.2,103.32075,10.1877027203,51.0999984741,80.2
Italy,99.32794,98.39106,10.5510214553,45.59999847,81.2,98.39106,10.5510214552,45.5999984741,81.2
Jordan,101.46418,103.82431,9.19207933432,39.20000076,75.1,103.82431,9.19207933434,39.2000007629,75.1
Kazakhstan,103.07784,104.26074,9.7426178805,62.79999924,65.1,104.26074,9.74261788065,62.7999992371,65.1
Kuwait,102.79057,106.46714,11.530443456,65.69999695,78.0,106.46714,11.5304434561,65.6999969482,78.0
Latvia,93.00693,91.05901,9.9006202673,56.5,70.9,91.05901,9.90062026754,56.5,70.9
Lebanon,82.9449,87.07596,9.38606666442,46.0,76.8,87.07596,9.38606666406,46.0,76.8
Lesotho,62.49486,89.04591,7.55477530501,58.5,44.0,89.04591,7.554775305,58.5,44.0
Lithuania,92.97615,93.3611,9.8663707255,52.70000076,71.1,93.3611,9.8663707256,52.7000007629,71.1
"Macao, China",100.37605,102.64068,11.1787745913,64.19999695,78.886,102.64068,11.1787745912,64.1999969482,78.886
"Macedonia, FYR",94.28383,92.47784,9.18913932679,34.59999847,75.1,92.47784,9.18913932677,34.5999984741,75.1
Madagascar,58.29241,58.03015,7.24574450725,84.09999847,62.7,58.03015,7.24574450745,84.0999984741,62.7
Malawi,58.20969,58.32552,6.40304851972,71.69999695,49.3,58.32552,6.40304851975,71.6999969482,49.3
Maldives,133.17733,130.28603,9.08995890953,55.79999924,77.3,130.28603,9.08995890958,55.7999992371,77.3
Mali,53.49708,37.41011,7.3492426612,45.59999847,54.8,37.41011,7.34924266121,45.5999984741,54.8
Mauritania,45.37206,44.24076,7.90902701814,47.40000153,63.0,44.24076,7.90902701805,47.4000015259,63.0
Mauritius,90.66097,93.76315,9.47532355025,53.5,72.1,93.76315,9.47532355012,53.5,72.1
Mexico,100.07284,101.34438,9.67754209643,59.29999924,75.8,101.34438,9.67754209629,59.2999992371,75.8
Moldova,98.39621,97.64873,8.15253490696,45.09999847,69.4,97.64873,8.15253490704,45.0999984741,69.4
Mongolia,109.77474,109.53153,8.6725461372,52.0,62.5,109.53153,8.67254613716,52.0,62.5
Morocco,87.47829,80.26943,8.65264059205,46.90000153,72.8,80.26943,8.65264059198,46.9000015259,72.8
Mozambique,48.45195,34.20186,6.64668425339,77.09999847,54.1,34.20186,6.6466842534,77.0999984741,54.1
Namibia,77.91099,86.50668,8.9580435051,41.79999924,53.2,86.50668,8.95804350506,41.7999992371,53.2
Nicaragua,72.12001,78.43628,8.24909769103,58.20000076,74.8,78.43628,8.24909769094,58.2000007629,74.8
Niger,38.48075,25.87356,6.67457713475,60.40000153,58.3,25.87356,6.67457713469,60.4000015259,58.3
Nigeria,101.28439,80.51109,8.34769670707,51.0,57.2,80.51109,8.34769670695,51.0,57.2
Norway,96.74694,98.60849,11.0672505927,64.19999695,80.4,98.60849,11.0672505927,64.1999969482,80.4
Pakistan,69.14668,51.43498,8.2987609783,50.59999847,63.6,51.43498,8.29876097829,50.5999984741,63.6
Panama,93.66881,93.79092,9.36185101855,58.0,77.2,93.79092,9.36185101873,58.0,77.2
Paraguay,93.51928,94.69324,8.73935344617,72.5,73.5,94.69324,8.7393534461,72.5,73.5
Peru,101.99261,101.44217,8.99608071897,67.80000305,76.5,101.44217,8.99608071896,67.8000030518,76.5
Philippines,88.42144,95.76413,8.50362987895,59.40000153,69.1,95.76413,8.50362987898,59.4000015259,69.1
Qatar,89.97718,87.12397,11.7505045898,75.5,79.3,87.12397,11.7505045901,75.5,79.3
Romania,100.24916,100.29841,9.67925270347,51.09999847,73.0,100.29841,9.67925270328,51.0999984741,73.0
Senegal,52.71254,48.69941,7.6393929013,65.40000153,63.4,48.69941,7.63939290133,65.4000015259,63.4
Slovak Republic,91.53316,90.02255,9.97758538703,51.29999924,74.4,90.02255,9.97758538702,51.2999992371,74.4
Spain,97.94532,97.5326,10.4319803204,52.70000076,80.7,97.5326,10.4319803204,52.7000007629,80.7
Sri Lanka,103.21631,103.95047,8.72443528978,54.29999924,74.4,103.95047,8.72443528979,54.2999992371,74.4
Suriname,83.55954,99.9548,9.47083597928,45.0,68.7,99.9548,9.47083597964,45.0,68.7
Swaziland,64.31763,68.22978,8.62169209439,51.0,44.0,68.22978,8.62169209431,51.0,44.0
Sweden,95.98507,95.93724,10.6560702944,60.29999924,80.7,95.93724,10.6560702943,60.2999992371,80.7
Switzerland,92.42555,95.08792,10.8764023666,64.69999695,81.5,95.08792,10.8764023665,64.6999969482,81.5
Syria,107.021,105.74349,8.68075243432,44.79999924,76.1,105.74349,8.68075243439,44.7999992371,76.1
Tajikistan,108.50036,103.99385,7.47714620223,51.20000076,69.0,103.99385,7.47714620244,51.2000007629,69.0
Tanzania,73.84133,71.47928,7.19181320966,78.09999847,57.9,71.47928,7.19181320978,78.0999984741,57.9
Togo,87.66729,63.31738,7.09730509055,64.0,59.4,63.31738,7.09730509088,64.0,59.4
Turkey,99.3479,93.4201,9.68615144408,43.5,74.3,93.4201,9.68615144435,43.5,74.3
Ukraine,105.24323,104.55208,8.97205728391,53.79999924,67.3,104.55208,8.97205728387,53.7999992371,67.3
United Arab Emirates,98.03661,101.36929,11.476258757,75.0,75.6,101.36929,11.4762587571,75.0,75.6
United States,97.3215,99.09253,10.8328122017,62.59999847,77.8,99.09253,10.8328122017,62.5999984741,77.8
Uruguay,98.52292,100.97113,9.49719769742,56.70000076,75.5,100.97113,9.49719769711,56.7000007629,75.5
Uzbekistan,100.15548,98.4251,8.0599246128,56.5,68.3,98.4251,8.05992461277,56.5,68.3
Venezuela,93.03273,98.77942,9.68994947002,59.70000076,74.8,98.77942,9.68994946988,59.7000007629,74.8
Zambia,94.04398,83.31598,8.00243693081,60.79999924,48.8,83.31598,8.00243693069,60.7999992371,48.8
